year,month,district,count
2010,Jan,Hambantota,49
2010,Feb,Hambantota,128
2010,Mar,Hambantota,85
2010,Apr,Hambantota,45
2010,May,Hambantota,29
2010,Jun,Hambantota,82
2010,Jul,Hambantota,161
2010,Aug,Hambantota,122
2010,Sep,Hambantota,67
2010,Oct,Hambantota,24
2010,Nov,Hambantota,7
2010,Dec,Hambantota,10
2011,Jan,Hambantota,16
2011,Feb,Hambantota,8
2011,Mar,Hambantota,27
2011,Apr,Hambantota,70
2011,May,Hambantota,87
2011,Jun,Hambantota,48
2011,Jul,Hambantota,51
2011,Aug,Hambantota,18
2011,Sep,Hambantota,19
2011,Oct,Hambantota,13
2011,Nov,Hambantota,20
2011,Dec,Hambantota,39
2012,Jan,Hambantota,58
2012,Feb,Hambantota,66
2012,Mar,Hambantota,45
2012,Apr,Hambantota,37
2012,May,Hambantota,31
2012,Jun,Hambantota,59
2012,Jul,Hambantota,51
2012,Aug,Hambantota,78
2012,Sep,Hambantota,33
2012,Oct,Hambantota,53
2012,Nov,Hambantota,60
2012,Dec,Hambantota,33
2013,Jan,Hambantota,32
2013,Feb,Hambantota,35
2013,Mar,Hambantota,40
2013,Apr,Hambantota,30
2013,May,Hambantota,22
2013,Jun,Hambantota,21
2013,Jul,Hambantota,28
2013,Aug,Hambantota,43
2013,Sep,Hambantota,23
2013,Oct,Hambantota,24
2013,Nov,Hambantota,22
2013,Dec,Hambantota,25
2014,Jan,Hambantota,48
2014,Feb,Hambantota,34
2014,Mar,Hambantota,17
2014,Apr,Hambantota,26
2014,May,Hambantota,42
2014,Jun,Hambantota,121
2014,Jul,Hambantota,169
2014,Aug,Hambantota,36
2014,Sep,Hambantota,29
2014,Oct,Hambantota,51
2014,Nov,Hambantota,39
2014,Dec,Hambantota,53
2015,Jan,Hambantota,46
2015,Feb,Hambantota,51
2015,Mar,Hambantota,28
2015,Apr,Hambantota,18
2015,May,Hambantota,12
2015,Jun,Hambantota,11
2015,Jul,Hambantota,26
2015,Aug,Hambantota,27
2015,Sep,Hambantota,17
2015,Oct,Hambantota,61
2015,Nov,Hambantota,56
2015,Dec,Hambantota,45
2016,Jan,Hambantota,97
2016,Feb,Hambantota,79
2016,Mar,Hambantota,47
2016,Apr,Hambantota,43
2016,May,Hambantota,42
2016,Jun,Hambantota,82
2016,Jul,Hambantota,176
2016,Aug,Hambantota,47
2016,Sep,Hambantota,57
2016,Oct,Hambantota,30
2016,Nov,Hambantota,47
2016,Dec,Hambantota,153
2017,Jan,Hambantota,301
2017,Feb,Hambantota,225
2017,Mar,Hambantota,339
2017,Apr,Hambantota,333
2017,May,Hambantota,272
2017,Jun,Hambantota,384
2017,Jul,Hambantota,529
2017,Aug,Hambantota,359
2017,Sep,Hambantota,237
2017,Oct,Hambantota,174
2017,Nov,Hambantota,244
2017,Dec,Hambantota,181
