year,month,district,count
2010,Jan,Apura,267
2010,Feb,Apura,296
2010,Mar,Apura,131
2010,Apr,Apura,48
2010,May,Apura,21
2010,Jun,Apura,38
2010,Jul,Apura,83
2010,Aug,Apura,67
2010,Sep,Apura,60
2010,Oct,Apura,33
2010,Nov,Apura,26
2010,Dec,Apura,40
2011,Jan,Apura,21
2011,Feb,Apura,18
2011,Mar,Apura,14
2011,Apr,Apura,21
2011,May,Apura,31
2011,Jun,Apura,39
2011,Jul,Apura,43
2011,Aug,Apura,21
2011,Sep,Apura,22
2011,Oct,Apura,24
2011,Nov,Apura,12
2011,Dec,Apura,33
2012,Jan,Apura,38
2012,Feb,Apura,37
2012,Mar,Apura,36
2012,Apr,Apura,26
2012,May,Apura,29
2012,Jun,Apura,56
2012,Jul,Apura,31
2012,Aug,Apura,34
2012,Sep,Apura,26
2012,Oct,Apura,27
2012,Nov,Apura,34
2012,Dec,Apura,119
2013,Jan,Apura,80
2013,Feb,Apura,74
2013,Mar,Apura,90
2013,Apr,Apura,36
2013,May,Apura,47
2013,Jun,Apura,28
2013,Jul,Apura,23
2013,Aug,Apura,33
2013,Sep,Apura,38
2013,Oct,Apura,28
2013,Nov,Apura,30
2013,Dec,Apura,63
2014,Jan,Apura,68
2014,Feb,Apura,44
2014,Mar,Apura,27
2014,Apr,Apura,39
2014,May,Apura,27
2014,Jun,Apura,61
2014,Jul,Apura,89
2014,Aug,Apura,39
2014,Sep,Apura,25
2014,Oct,Apura,51
2014,Nov,Apura,54
2014,Dec,Apura,108
2015,Jan,Apura,122
2015,Feb,Apura,78
2015,Mar,Apura,27
2015,Apr,Apura,18
2015,May,Apura,12
2015,Jun,Apura,15
2015,Jul,Apura,18
2015,Aug,Apura,13
2015,Sep,Apura,14
2015,Oct,Apura,12
2015,Nov,Apura,29
2015,Dec,Apura,43
2016,Jan,Apura,98
2016,Feb,Apura,65
2016,Mar,Apura,33
2016,Apr,Apura,50
2016,May,Apura,29
2016,Jun,Apura,40
2016,Jul,Apura,137
2016,Aug,Apura,91
2016,Sep,Apura,70
2016,Oct,Apura,28
2016,Nov,Apura,30
2016,Dec,Apura,60
2017,Jan,Apura,166
2017,Feb,Apura,147
2017,Mar,Apura,255
2017,Apr,Apura,193
2017,May,Apura,249
2017,Jun,Apura,378
2017,Jul,Apura,709
2017,Aug,Apura,299
2017,Sep,Apura,96
2017,Oct,Apura,79
2017,Nov,Apura,153
2017,Dec,Apura,191
