year,month,district,count
2010,Jan,Badulla,71
2010,Feb,Badulla,68
2010,Mar,Badulla,49
2010,Apr,Badulla,47
2010,May,Badulla,69
2010,Jun,Badulla,118
2010,Jul,Badulla,372
2010,Aug,Badulla,319
2010,Sep,Badulla,120
2010,Oct,Badulla,43
2010,Nov,Badulla,26
2010,Dec,Badulla,40
2011,Jan,Badulla,22
2011,Feb,Badulla,21
2011,Mar,Badulla,15
2011,Apr,Badulla,36
2011,May,Badulla,31
2011,Jun,Badulla,65
2011,Jul,Badulla,201
2011,Aug,Badulla,54
2011,Sep,Badulla,46
2011,Oct,Badulla,39
2011,Nov,Badulla,49
2011,Dec,Badulla,53
2012,Jan,Badulla,40
2012,Feb,Badulla,22
2012,Mar,Badulla,13
2012,Apr,Badulla,11
2012,May,Badulla,20
2012,Jun,Badulla,57
2012,Jul,Badulla,48
2012,Aug,Badulla,40
2012,Sep,Badulla,35
2012,Oct,Badulla,41
2012,Nov,Badulla,49
2012,Dec,Badulla,54
2013,Jan,Badulla,42
2013,Feb,Badulla,49
2013,Mar,Badulla,45
2013,Apr,Badulla,32
2013,May,Badulla,46
2013,Jun,Badulla,46
2013,Jul,Badulla,77
2013,Aug,Badulla,58
2013,Sep,Badulla,38
2013,Oct,Badulla,26
2013,Nov,Badulla,50
2013,Dec,Badulla,33
2014,Jan,Badulla,56
2014,Feb,Badulla,43
2014,Mar,Badulla,36
2014,Apr,Badulla,12
2014,May,Badulla,56
2014,Jun,Badulla,90
2014,Jul,Badulla,79
2014,Aug,Badulla,84
2014,Sep,Badulla,76
2014,Oct,Badulla,129
2014,Nov,Badulla,221
2014,Dec,Badulla,231
2015,Jan,Badulla,195
2015,Feb,Badulla,60
2015,Mar,Badulla,30
2015,Apr,Badulla,31
2015,May,Badulla,22
2015,Jun,Badulla,30
2015,Jul,Badulla,33
2015,Aug,Badulla,19
2015,Sep,Badulla,10
2015,Oct,Badulla,35
2015,Nov,Badulla,54
2015,Dec,Badulla,47
2016,Jan,Badulla,85
2016,Feb,Badulla,40
2016,Mar,Badulla,55
2016,Apr,Badulla,43
2016,May,Badulla,32
2016,Jun,Badulla,107
2016,Jul,Badulla,169
2016,Aug,Badulla,72
2016,Sep,Badulla,127
2016,Oct,Badulla,200
2016,Nov,Badulla,105
2016,Dec,Badulla,150
2017,Jan,Badulla,226
2017,Feb,Badulla,130
2017,Mar,Badulla,139
2017,Apr,Badulla,167
2017,May,Badulla,186
2017,Jun,Badulla,400
2017,Jul,Badulla,1220
2017,Aug,Badulla,490
2017,Sep,Badulla,273
2017,Oct,Badulla,159
2017,Nov,Badulla,174
2017,Dec,Badulla,178
