year,month,district,count
2010,Jan,Galle,36
2010,Feb,Galle,79
2010,Mar,Galle,86
2010,Apr,Galle,115
2010,May,Galle,83
2010,Jun,Galle,145
2010,Jul,Galle,228
2010,Aug,Galle,169
2010,Sep,Galle,105
2010,Oct,Galle,49
2010,Nov,Galle,11
2010,Dec,Galle,7
2011,Jan,Galle,7
2011,Feb,Galle,19
2011,Mar,Galle,30
2011,Apr,Galle,57
2011,May,Galle,98
2011,Jun,Galle,112
2011,Jul,Galle,168
2011,Aug,Galle,100
2011,Sep,Galle,96
2011,Oct,Galle,50
2011,Nov,Galle,49
2011,Dec,Galle,93
2012,Jan,Galle,105
2012,Feb,Galle,105
2012,Mar,Galle,161
2012,Apr,Galle,90
2012,May,Galle,99
2012,Jun,Galle,221
2012,Jul,Galle,217
2012,Aug,Galle,241
2012,Sep,Galle,78
2012,Oct,Galle,60
2012,Nov,Galle,78
2012,Dec,Galle,58
2013,Jan,Galle,57
2013,Feb,Galle,60
2013,Mar,Galle,92
2013,Apr,Galle,57
2013,May,Galle,108
2013,Jun,Galle,100
2013,Jul,Galle,84
2013,Aug,Galle,93
2013,Sep,Galle,79
2013,Oct,Galle,34
2013,Nov,Galle,68
2013,Dec,Galle,108
2014,Jan,Galle,136
2014,Feb,Galle,49
2014,Mar,Galle,61
2014,Apr,Galle,35
2014,May,Galle,75
2014,Jun,Galle,139
2014,Jul,Galle,197
2014,Aug,Galle,107
2014,Sep,Galle,71
2014,Oct,Galle,125
2014,Nov,Galle,109
2014,Dec,Galle,120
2015,Jan,Galle,150
2015,Feb,Galle,118
2015,Mar,Galle,70
2015,Apr,Galle,35
2015,May,Galle,26
2015,Jun,Galle,20
2015,Jul,Galle,46
2015,Aug,Galle,80
2015,Sep,Galle,75
2015,Oct,Galle,131
2015,Nov,Galle,151
2015,Dec,Galle,128
2016,Jan,Galle,276
2016,Feb,Galle,135
2016,Mar,Galle,110
2016,Apr,Galle,120
2016,May,Galle,118
2016,Jun,Galle,121
2016,Jul,Galle,467
2016,Aug,Galle,253
2016,Sep,Galle,288
2016,Oct,Galle,236
2016,Nov,Galle,281
2016,Dec,Galle,681
2017,Jan,Galle,872
2017,Feb,Galle,567
2017,Mar,Galle,424
2017,Apr,Galle,265
2017,May,Galle,394
2017,Jun,Galle,623
2017,Jul,Galle,1072
2017,Aug,Galle,877
2017,Sep,Galle,369
2017,Oct,Galle,163
2017,Nov,Galle,300
2017,Dec,Galle,339
