year,month,district,count
2010,Jan,Gampaha,608
2010,Feb,Gampaha,623
2010,Mar,Gampaha,306
2010,Apr,Gampaha,205
2010,May,Gampaha,295
2010,Jun,Gampaha,381
2010,Jul,Gampaha,686
2010,Aug,Gampaha,417
2010,Sep,Gampaha,174
2010,Oct,Gampaha,101
2010,Nov,Gampaha,77
2010,Dec,Gampaha,87
2011,Jan,Gampaha,134
2011,Feb,Gampaha,119
2011,Mar,Gampaha,141
2011,Apr,Gampaha,183
2011,May,Gampaha,218
2011,Jun,Gampaha,537
2011,Jul,Gampaha,911
2011,Aug,Gampaha,428
2011,Sep,Gampaha,367
2011,Oct,Gampaha,321
2011,Nov,Gampaha,347
2011,Dec,Gampaha,668
2012,Jan,Gampaha,847
2012,Feb,Gampaha,640
2012,Mar,Gampaha,447
2012,Apr,Gampaha,367
2012,May,Gampaha,397
2012,Jun,Gampaha,1180
2012,Jul,Gampaha,969
2012,Aug,Gampaha,884
2012,Sep,Gampaha,479
2012,Oct,Gampaha,570
2012,Nov,Gampaha,737
2012,Dec,Gampaha,489
2013,Jan,Gampaha,463
2013,Feb,Gampaha,321
2013,Mar,Gampaha,289
2013,Apr,Gampaha,212
2013,May,Gampaha,319
2013,Jun,Gampaha,273
2013,Jul,Gampaha,385
2013,Aug,Gampaha,394
2013,Sep,Gampaha,245
2013,Oct,Gampaha,237
2013,Nov,Gampaha,383
2013,Dec,Gampaha,308
2014,Jan,Gampaha,632
2014,Feb,Gampaha,279
2014,Mar,Gampaha,191
2014,Apr,Gampaha,280
2014,May,Gampaha,921
2014,Jun,Gampaha,1111
2014,Jul,Gampaha,932
2014,Aug,Gampaha,772
2014,Sep,Gampaha,569
2014,Oct,Gampaha,1015
2014,Nov,Gampaha,1111
2014,Dec,Gampaha,998
2015,Jan,Gampaha,817
2015,Feb,Gampaha,492
2015,Mar,Gampaha,255
2015,Apr,Gampaha,193
2015,May,Gampaha,264
2015,Jun,Gampaha,225
2015,Jul,Gampaha,317
2015,Aug,Gampaha,233
2015,Sep,Gampaha,186
2015,Oct,Gampaha,277
2015,Nov,Gampaha,387
2015,Dec,Gampaha,496
2016,Jan,Gampaha,862
2016,Feb,Gampaha,615
2016,Mar,Gampaha,260
2016,Apr,Gampaha,276
2016,May,Gampaha,221
2016,Jun,Gampaha,555
2016,Jul,Gampaha,1625
2016,Aug,Gampaha,687
2016,Sep,Gampaha,526
2016,Oct,Gampaha,219
2016,Nov,Gampaha,220
2016,Dec,Gampaha,1107
2017,Jan,Gampaha,1635
2017,Feb,Gampaha,1087
2017,Mar,Gampaha,1870
2017,Apr,Gampaha,2072
2017,May,Gampaha,3168
2017,Jun,Gampaha,4901
2017,Jul,Gampaha,9039
2017,Aug,Gampaha,3553
2017,Sep,Gampaha,1246
2017,Oct,Gampaha,779
2017,Nov,Gampaha,1078
2017,Dec,Gampaha,1219
