year,month,district,count
2010,Jan,Jaffna,858
2010,Feb,Jaffna,878
2010,Mar,Jaffna,170
2010,Apr,Jaffna,145
2010,May,Jaffna,82
2010,Jun,Jaffna,237
2010,Jul,Jaffna,236
2010,Aug,Jaffna,96
2010,Sep,Jaffna,40
2010,Oct,Jaffna,78
2010,Nov,Jaffna,79
2010,Dec,Jaffna,121
2011,Jan,Jaffna,58
2011,Feb,Jaffna,34
2011,Mar,Jaffna,24
2011,Apr,Jaffna,20
2011,May,Jaffna,10
2011,Jun,Jaffna,16
2011,Jul,Jaffna,35
2011,Aug,Jaffna,33
2011,Sep,Jaffna,46
2011,Oct,Jaffna,19
2011,Nov,Jaffna,34
2011,Dec,Jaffna,71
2012,Jan,Jaffna,91
2012,Feb,Jaffna,40
2012,Mar,Jaffna,43
2012,Apr,Jaffna,24
2012,May,Jaffna,27
2012,Jun,Jaffna,34
2012,Jul,Jaffna,26
2012,Aug,Jaffna,36
2012,Sep,Jaffna,41
2012,Oct,Jaffna,143
2012,Nov,Jaffna,205
2012,Dec,Jaffna,184
2013,Jan,Jaffna,100
2013,Feb,Jaffna,77
2013,Mar,Jaffna,84
2013,Apr,Jaffna,115
2013,May,Jaffna,70
2013,Jun,Jaffna,30
2013,Jul,Jaffna,23
2013,Aug,Jaffna,43
2013,Sep,Jaffna,35
2013,Oct,Jaffna,48
2013,Nov,Jaffna,52
2013,Dec,Jaffna,125
2014,Jan,Jaffna,148
2014,Feb,Jaffna,92
2014,Mar,Jaffna,58
2014,Apr,Jaffna,59
2014,May,Jaffna,73
2014,Jun,Jaffna,89
2014,Jul,Jaffna,148
2014,Aug,Jaffna,123
2014,Sep,Jaffna,95
2014,Oct,Jaffna,212
2014,Nov,Jaffna,318
2014,Dec,Jaffna,424
2015,Jan,Jaffna,614
2015,Feb,Jaffna,218
2015,Mar,Jaffna,113
2015,Apr,Jaffna,48
2015,May,Jaffna,66
2015,Jun,Jaffna,63
2015,Jul,Jaffna,69
2015,Aug,Jaffna,45
2015,Sep,Jaffna,51
2015,Oct,Jaffna,76
2015,Nov,Jaffna,216
2015,Dec,Jaffna,437
2016,Jan,Jaffna,687
2016,Feb,Jaffna,238
2016,Mar,Jaffna,150
2016,Apr,Jaffna,93
2016,May,Jaffna,58
2016,Jun,Jaffna,80
2016,Jul,Jaffna,226
2016,Aug,Jaffna,148
2016,Sep,Jaffna,121
2016,Oct,Jaffna,91
2016,Nov,Jaffna,135
2016,Dec,Jaffna,441
2017,Jan,Jaffna,625
2017,Feb,Jaffna,478
2017,Mar,Jaffna,863
2017,Apr,Jaffna,499
2017,May,Jaffna,301
2017,Jun,Jaffna,288
2017,Jul,Jaffna,376
2017,Aug,Jaffna,290
2017,Sep,Jaffna,341
2017,Oct,Jaffna,593
2017,Nov,Jaffna,509
2017,Dec,Jaffna,912
