year,month,district,count
2010,Jan,Kalutara,121
2010,Feb,Kalutara,124
2010,Mar,Kalutara,119
2010,Apr,Kalutara,114
2010,May,Kalutara,185
2010,Jun,Kalutara,294
2010,Jul,Kalutara,420
2010,Aug,Kalutara,215
2010,Sep,Kalutara,122
2010,Oct,Kalutara,56
2010,Nov,Kalutara,23
2010,Dec,Kalutara,19
2011,Jan,Kalutara,48
2011,Feb,Kalutara,52
2011,Mar,Kalutara,57
2011,Apr,Kalutara,133
2011,May,Kalutara,148
2011,Jun,Kalutara,185
2011,Jul,Kalutara,188
2011,Aug,Kalutara,107
2011,Sep,Kalutara,93
2011,Oct,Kalutara,100
2011,Nov,Kalutara,111
2011,Dec,Kalutara,194
2012,Jan,Kalutara,180
2012,Feb,Kalutara,260
2012,Mar,Kalutara,209
2012,Apr,Kalutara,205
2012,May,Kalutara,182
2012,Jun,Kalutara,364
2012,Jul,Kalutara,348
2012,Aug,Kalutara,339
2012,Sep,Kalutara,156
2012,Oct,Kalutara,192
2012,Nov,Kalutara,213
2012,Dec,Kalutara,143
2013,Jan,Kalutara,159
2013,Feb,Kalutara,153
2013,Mar,Kalutara,168
2013,Apr,Kalutara,115
2013,May,Kalutara,164
2013,Jun,Kalutara,140
2013,Jul,Kalutara,178
2013,Aug,Kalutara,210
2013,Sep,Kalutara,148
2013,Oct,Kalutara,108
2013,Nov,Kalutara,166
2013,Dec,Kalutara,219
2014,Jan,Kalutara,267
2014,Feb,Kalutara,175
2014,Mar,Kalutara,111
2014,Apr,Kalutara,117
2014,May,Kalutara,241
2014,Jun,Kalutara,429
2014,Jul,Kalutara,389
2014,Aug,Kalutara,239
2014,Sep,Kalutara,138
2014,Oct,Kalutara,158
2014,Nov,Kalutara,182
2014,Dec,Kalutara,185
2015,Jan,Kalutara,276
2015,Feb,Kalutara,180
2015,Mar,Kalutara,106
2015,Apr,Kalutara,72
2015,May,Kalutara,86
2015,Jun,Kalutara,78
2015,Jul,Kalutara,125
2015,Aug,Kalutara,92
2015,Sep,Kalutara,57
2015,Oct,Kalutara,118
2015,Nov,Kalutara,167
2015,Dec,Kalutara,202
2016,Jan,Kalutara,321
2016,Feb,Kalutara,294
2016,Mar,Kalutara,197
2016,Apr,Kalutara,312
2016,May,Kalutara,249
2016,Jun,Kalutara,343
2016,Jul,Kalutara,683
2016,Aug,Kalutara,293
2016,Sep,Kalutara,195
2016,Oct,Kalutara,106
2016,Nov,Kalutara,121
2016,Dec,Kalutara,388
2017,Jan,Kalutara,581
2017,Feb,Kalutara,448
2017,Mar,Kalutara,836
2017,Apr,Kalutara,739
2017,May,Kalutara,946
2017,Jun,Kalutara,1248
2017,Jul,Kalutara,2612
2017,Aug,Kalutara,1477
2017,Sep,Kalutara,663
2017,Oct,Kalutara,337
2017,Nov,Kalutara,528
2017,Dec,Kalutara,546
