year,month,district,count
2010,Jan,Kandy,211
2010,Feb,Kandy,174
2010,Mar,Kandy,116
2010,Apr,Kandy,89
2010,May,Kandy,114
2010,Jun,Kandy,176
2010,Jul,Kandy,341
2010,Aug,Kandy,230
2010,Sep,Kandy,91
2010,Oct,Kandy,64
2010,Nov,Kandy,22
2010,Dec,Kandy,16
2011,Jan,Kandy,26
2011,Feb,Kandy,28
2011,Mar,Kandy,32
2011,Apr,Kandy,62
2011,May,Kandy,53
2011,Jun,Kandy,81
2011,Jul,Kandy,218
2011,Aug,Kandy,99
2011,Sep,Kandy,251
2011,Oct,Kandy,255
2011,Nov,Kandy,182
2011,Dec,Kandy,348
2012,Jan,Kandy,270
2012,Feb,Kandy,194
2012,Mar,Kandy,114
2012,Apr,Kandy,122
2012,May,Kandy,194
2012,Jun,Kandy,298
2012,Jul,Kandy,287
2012,Aug,Kandy,355
2012,Sep,Kandy,135
2012,Oct,Kandy,177
2012,Nov,Kandy,185
2012,Dec,Kandy,186
2013,Jan,Kandy,193
2013,Feb,Kandy,215
2013,Mar,Kandy,134
2013,Apr,Kandy,83
2013,May,Kandy,156
2013,Jun,Kandy,186
2013,Jul,Kandy,191
2013,Aug,Kandy,240
2013,Sep,Kandy,110
2013,Oct,Kandy,59
2013,Nov,Kandy,96
2013,Dec,Kandy,100
2014,Jan,Kandy,93
2014,Feb,Kandy,49
2014,Mar,Kandy,36
2014,Apr,Kandy,47
2014,May,Kandy,116
2014,Jun,Kandy,270
2014,Jul,Kandy,223
2014,Aug,Kandy,247
2014,Sep,Kandy,176
2014,Oct,Kandy,289
2014,Nov,Kandy,413
2014,Dec,Kandy,377
2015,Jan,Kandy,253
2015,Feb,Kandy,156
2015,Mar,Kandy,95
2015,Apr,Kandy,63
2015,May,Kandy,71
2015,Jun,Kandy,70
2015,Jul,Kandy,64
2015,Aug,Kandy,47
2015,Sep,Kandy,62
2015,Oct,Kandy,154
2015,Nov,Kandy,120
2015,Dec,Kandy,170
2016,Jan,Kandy,335
2016,Feb,Kandy,207
2016,Mar,Kandy,93
2016,Apr,Kandy,109
2016,May,Kandy,154
2016,Jun,Kandy,504
2016,Jul,Kandy,1226
2016,Aug,Kandy,510
2016,Sep,Kandy,347
2016,Oct,Kandy,165
2016,Nov,Kandy,112
2016,Dec,Kandy,301
2017,Jan,Kandy,252
2017,Feb,Kandy,207
2017,Mar,Kandy,369
2017,Apr,Kandy,443
2017,May,Kandy,862
2017,Jun,Kandy,2314
2017,Jul,Kandy,3855
2017,Aug,Kandy,2354
2017,Sep,Kandy,1090
2017,Oct,Kandy,821
2017,Nov,Kandy,884
2017,Dec,Kandy,957
