year,month,district,count
2010,Jan,Kegalle,90
2010,Feb,Kegalle,136
2010,Mar,Kegalle,76
2010,Apr,Kegalle,49
2010,May,Kegalle,53
2010,Jun,Kegalle,117
2010,Jul,Kegalle,161
2010,Aug,Kegalle,104
2010,Sep,Kegalle,64
2010,Oct,Kegalle,25
2010,Nov,Kegalle,22
2010,Dec,Kegalle,21
2011,Jan,Kegalle,15
2011,Feb,Kegalle,24
2011,Mar,Kegalle,28
2011,Apr,Kegalle,51
2011,May,Kegalle,48
2011,Jun,Kegalle,120
2011,Jul,Kegalle,141
2011,Aug,Kegalle,81
2011,Sep,Kegalle,156
2011,Oct,Kegalle,176
2011,Nov,Kegalle,88
2011,Dec,Kegalle,152
2012,Jan,Kegalle,173
2012,Feb,Kegalle,144
2012,Mar,Kegalle,121
2012,Apr,Kegalle,146
2012,May,Kegalle,213
2012,Jun,Kegalle,557
2012,Jul,Kegalle,385
2012,Aug,Kegalle,331
2012,Sep,Kegalle,174
2012,Oct,Kegalle,148
2012,Nov,Kegalle,156
2012,Dec,Kegalle,157
2013,Jan,Kegalle,134
2013,Feb,Kegalle,106
2013,Mar,Kegalle,99
2013,Apr,Kegalle,91
2013,May,Kegalle,113
2013,Jun,Kegalle,104
2013,Jul,Kegalle,98
2013,Aug,Kegalle,137
2013,Sep,Kegalle,62
2013,Oct,Kegalle,83
2013,Nov,Kegalle,117
2013,Dec,Kegalle,93
2014,Jan,Kegalle,84
2014,Feb,Kegalle,58
2014,Mar,Kegalle,54
2014,Apr,Kegalle,60
2014,May,Kegalle,179
2014,Jun,Kegalle,320
2014,Jul,Kegalle,242
2014,Aug,Kegalle,231
2014,Sep,Kegalle,89
2014,Oct,Kegalle,132
2014,Nov,Kegalle,151
2014,Dec,Kegalle,124
2015,Jan,Kegalle,104
2015,Feb,Kegalle,57
2015,Mar,Kegalle,36
2015,Apr,Kegalle,40
2015,May,Kegalle,54
2015,Jun,Kegalle,38
2015,Jul,Kegalle,50
2015,Aug,Kegalle,49
2015,Sep,Kegalle,36
2015,Oct,Kegalle,70
2015,Nov,Kegalle,80
2015,Dec,Kegalle,97
2016,Jan,Kegalle,198
2016,Feb,Kegalle,153
2016,Mar,Kegalle,66
2016,Apr,Kegalle,90
2016,May,Kegalle,100
2016,Jun,Kegalle,149
2016,Jul,Kegalle,210
2016,Aug,Kegalle,153
2016,Sep,Kegalle,104
2016,Oct,Kegalle,82
2016,Nov,Kegalle,60
2016,Dec,Kegalle,148
2017,Jan,Kegalle,210
2017,Feb,Kegalle,230
2017,Mar,Kegalle,377
2017,Apr,Kegalle,332
2017,May,Kegalle,700
2017,Jun,Kegalle,1945
2017,Jul,Kegalle,2551
2017,Aug,Kegalle,1684
2017,Sep,Kegalle,746
2017,Oct,Kegalle,264
2017,Nov,Kegalle,250
2017,Dec,Kegalle,269
