year,month,district,count
2010,Jan,Kilinochchi,0
2010,Feb,Kilinochchi,0
2010,Mar,Kilinochchi,0
2010,Apr,Kilinochchi,1
2010,May,Kilinochchi,0
2010,Jun,Kilinochchi,4
2010,Jul,Kilinochchi,5
2010,Aug,Kilinochchi,18
2010,Sep,Kilinochchi,12
2010,Oct,Kilinochchi,2
2010,Nov,Kilinochchi,5
2010,Dec,Kilinochchi,6
2011,Jan,Kilinochchi,2
2011,Feb,Kilinochchi,4
2011,Mar,Kilinochchi,10
2011,Apr,Kilinochchi,13
2011,May,Kilinochchi,4
2011,Jun,Kilinochchi,3
2011,Jul,Kilinochchi,3
2011,Aug,Kilinochchi,5
2011,Sep,Kilinochchi,8
2011,Oct,Kilinochchi,3
2011,Nov,Kilinochchi,4
2011,Dec,Kilinochchi,7
2012,Jan,Kilinochchi,8
2012,Feb,Kilinochchi,2
2012,Mar,Kilinochchi,5
2012,Apr,Kilinochchi,3
2012,May,Kilinochchi,19
2012,Jun,Kilinochchi,16
2012,Jul,Kilinochchi,8
2012,Aug,Kilinochchi,11
2012,Sep,Kilinochchi,6
2012,Oct,Kilinochchi,2
2012,Nov,Kilinochchi,5
2012,Dec,Kilinochchi,8
2013,Jan,Kilinochchi,7
2013,Feb,Kilinochchi,4
2013,Mar,Kilinochchi,7
2013,Apr,Kilinochchi,5
2013,May,Kilinochchi,4
2013,Jun,Kilinochchi,7
2013,Jul,Kilinochchi,0
2013,Aug,Kilinochchi,16
2013,Sep,Kilinochchi,7
2013,Oct,Kilinochchi,3
2013,Nov,Kilinochchi,3
2013,Dec,Kilinochchi,6
2014,Jan,Kilinochchi,10
2014,Feb,Kilinochchi,10
2014,Mar,Kilinochchi,4
2014,Apr,Kilinochchi,6
2014,May,Kilinochchi,0
2014,Jun,Kilinochchi,1
2014,Jul,Kilinochchi,8
2014,Aug,Kilinochchi,3
2014,Sep,Kilinochchi,4
2014,Oct,Kilinochchi,10
2014,Nov,Kilinochchi,15
2014,Dec,Kilinochchi,19
2015,Jan,Kilinochchi,18
2015,Feb,Kilinochchi,11
2015,Mar,Kilinochchi,3
2015,Apr,Kilinochchi,0
2015,May,Kilinochchi,2
2015,Jun,Kilinochchi,4
2015,Jul,Kilinochchi,9
2015,Aug,Kilinochchi,7
2015,Sep,Kilinochchi,7
2015,Oct,Kilinochchi,14
2015,Nov,Kilinochchi,11
2015,Dec,Kilinochchi,6
2016,Jan,Kilinochchi,15
2016,Feb,Kilinochchi,16
2016,Mar,Kilinochchi,5
2016,Apr,Kilinochchi,7
2016,May,Kilinochchi,4
2016,Jun,Kilinochchi,4
2016,Jul,Kilinochchi,8
2016,Aug,Kilinochchi,8
2016,Sep,Kilinochchi,3
2016,Oct,Kilinochchi,5
2016,Nov,Kilinochchi,1
2016,Dec,Kilinochchi,10
2017,Jan,Kilinochchi,55
2017,Feb,Kilinochchi,84
2017,Mar,Kilinochchi,35
2017,Apr,Kilinochchi,46
2017,May,Kilinochchi,21
2017,Jun,Kilinochchi,21
2017,Jul,Kilinochchi,90
2017,Aug,Kilinochchi,59
2017,Sep,Kilinochchi,30
2017,Oct,Kilinochchi,17
2017,Nov,Kilinochchi,28
2017,Dec,Kilinochchi,32
