year,month,district,count
2010,Jan,Mannar,26
2010,Feb,Mannar,23
2010,Mar,Mannar,14
2010,Apr,Mannar,16
2010,May,Mannar,9
2010,Jun,Mannar,55
2010,Jul,Mannar,94
2010,Aug,Mannar,222
2010,Sep,Mannar,62
2010,Oct,Mannar,28
2010,Nov,Mannar,14
2010,Dec,Mannar,5
2011,Jan,Mannar,8
2011,Feb,Mannar,5
2011,Mar,Mannar,4
2011,Apr,Mannar,2
2011,May,Mannar,2
2011,Jun,Mannar,2
2011,Jul,Mannar,2
2011,Aug,Mannar,1
2011,Sep,Mannar,0
2011,Oct,Mannar,17
2011,Nov,Mannar,8
2011,Dec,Mannar,49
2012,Jan,Mannar,38
2012,Feb,Mannar,16
2012,Mar,Mannar,10
2012,Apr,Mannar,9
2012,May,Mannar,6
2012,Jun,Mannar,15
2012,Jul,Mannar,19
2012,Aug,Mannar,11
2012,Sep,Mannar,2
2012,Oct,Mannar,6
2012,Nov,Mannar,21
2012,Dec,Mannar,33
2013,Jan,Mannar,23
2013,Feb,Mannar,10
2013,Mar,Mannar,7
2013,Apr,Mannar,4
2013,May,Mannar,10
2013,Jun,Mannar,2
2013,Jul,Mannar,1
2013,Aug,Mannar,2
2013,Sep,Mannar,4
2013,Oct,Mannar,5
2013,Nov,Mannar,1
2013,Dec,Mannar,1
2014,Jan,Mannar,2
2014,Feb,Mannar,1
2014,Mar,Mannar,0
2014,Apr,Mannar,1
2014,May,Mannar,2
2014,Jun,Mannar,20
2014,Jul,Mannar,13
2014,Aug,Mannar,10
2014,Sep,Mannar,40
2014,Oct,Mannar,68
2014,Nov,Mannar,119
2014,Dec,Mannar,83
2015,Jan,Mannar,50
2015,Feb,Mannar,16
2015,Mar,Mannar,2
2015,Apr,Mannar,1
2015,May,Mannar,4
2015,Jun,Mannar,2
2015,Jul,Mannar,1
2015,Aug,Mannar,1
2015,Sep,Mannar,2
2015,Oct,Mannar,2
2015,Nov,Mannar,4
2015,Dec,Mannar,20
2016,Jan,Mannar,42
2016,Feb,Mannar,17
2016,Mar,Mannar,3
2016,Apr,Mannar,7
2016,May,Mannar,16
2016,Jun,Mannar,10
2016,Jul,Mannar,10
2016,Aug,Mannar,2
2016,Sep,Mannar,12
2016,Oct,Mannar,18
2016,Nov,Mannar,17
2016,Dec,Mannar,78
2017,Jan,Mannar,147
2017,Feb,Mannar,91
2017,Mar,Mannar,65
2017,Apr,Mannar,90
2017,May,Mannar,60
2017,Jun,Mannar,23
2017,Jul,Mannar,23
2017,Aug,Mannar,5
2017,Sep,Mannar,3
2017,Oct,Mannar,6
2017,Nov,Mannar,8
2017,Dec,Mannar,22
