year,month,district,count
2010,Jan,Matale,138
2010,Feb,Matale,113
2010,Mar,Matale,35
2010,Apr,Matale,46
2010,May,Matale,35
2010,Jun,Matale,35
2010,Jul,Matale,97
2010,Aug,Matale,43
2010,Sep,Matale,23
2010,Oct,Matale,21
2010,Nov,Matale,19
2010,Dec,Matale,45
2011,Jan,Matale,10
2011,Feb,Matale,18
2011,Mar,Matale,16
2011,Apr,Matale,20
2011,May,Matale,37
2011,Jun,Matale,53
2011,Jul,Matale,66
2011,Aug,Matale,25
2011,Sep,Matale,26
2011,Oct,Matale,17
2011,Nov,Matale,21
2011,Dec,Matale,56
2012,Jan,Matale,45
2012,Feb,Matale,47
2012,Mar,Matale,59
2012,Apr,Matale,35
2012,May,Matale,32
2012,Jun,Matale,81
2012,Jul,Matale,29
2012,Aug,Matale,62
2012,Sep,Matale,46
2012,Oct,Matale,44
2012,Nov,Matale,47
2012,Dec,Matale,69
2013,Jan,Matale,48
2013,Feb,Matale,47
2013,Mar,Matale,49
2013,Apr,Matale,32
2013,May,Matale,30
2013,Jun,Matale,37
2013,Jul,Matale,52
2013,Aug,Matale,66
2013,Sep,Matale,32
2013,Oct,Matale,24
2013,Nov,Matale,39
2013,Dec,Matale,39
2014,Jan,Matale,40
2014,Feb,Matale,35
2014,Mar,Matale,18
2014,Apr,Matale,14
2014,May,Matale,14
2014,Jun,Matale,81
2014,Jul,Matale,75
2014,Aug,Matale,55
2014,Sep,Matale,27
2014,Oct,Matale,81
2014,Nov,Matale,101
2014,Dec,Matale,108
2015,Jan,Matale,166
2015,Feb,Matale,92
2015,Mar,Matale,26
2015,Apr,Matale,16
2015,May,Matale,10
2015,Jun,Matale,16
2015,Jul,Matale,8
2015,Aug,Matale,7
2015,Sep,Matale,8
2015,Oct,Matale,12
2015,Nov,Matale,18
2015,Dec,Matale,22
2016,Jan,Matale,51
2016,Feb,Matale,42
2016,Mar,Matale,33
2016,Apr,Matale,21
2016,May,Matale,29
2016,Jun,Matale,89
2016,Jul,Matale,348
2016,Aug,Matale,133
2016,Sep,Matale,135
2016,Oct,Matale,78
2016,Nov,Matale,66
2016,Dec,Matale,123
2017,Jan,Matale,129
2017,Feb,Matale,103
2017,Mar,Matale,145
2017,Apr,Matale,120
2017,May,Matale,165
2017,Jun,Matale,436
2017,Jul,Matale,766
2017,Aug,Matale,534
2017,Sep,Matale,167
2017,Oct,Matale,177
2017,Nov,Matale,214
2017,Dec,Matale,215
