year,month,district,count
2010,Jan,Puttalam,208
2010,Feb,Puttalam,189
2010,Mar,Puttalam,86
2010,Apr,Puttalam,50
2010,May,Puttalam,51
2010,Jun,Puttalam,106
2010,Jul,Puttalam,137
2010,Aug,Puttalam,82
2010,Sep,Puttalam,49
2010,Oct,Puttalam,31
2010,Nov,Puttalam,25
2010,Dec,Puttalam,45
2011,Jan,Puttalam,72
2011,Feb,Puttalam,64
2011,Mar,Puttalam,49
2011,Apr,Puttalam,28
2011,May,Puttalam,21
2011,Jun,Puttalam,52
2011,Jul,Puttalam,62
2011,Aug,Puttalam,23
2011,Sep,Puttalam,31
2011,Oct,Puttalam,27
2011,Nov,Puttalam,40
2011,Dec,Puttalam,102
2012,Jan,Puttalam,131
2012,Feb,Puttalam,101
2012,Mar,Puttalam,69
2012,Apr,Puttalam,55
2012,May,Puttalam,98
2012,Jun,Puttalam,178
2012,Jul,Puttalam,98
2012,Aug,Puttalam,142
2012,Sep,Puttalam,253
2012,Oct,Puttalam,159
2012,Nov,Puttalam,251
2012,Dec,Puttalam,265
2013,Jan,Puttalam,175
2013,Feb,Puttalam,170
2013,Mar,Puttalam,98
2013,Apr,Puttalam,67
2013,May,Puttalam,53
2013,Jun,Puttalam,56
2013,Jul,Puttalam,46
2013,Aug,Puttalam,83
2013,Sep,Puttalam,39
2013,Oct,Puttalam,31
2013,Nov,Puttalam,51
2013,Dec,Puttalam,55
2014,Jan,Puttalam,93
2014,Feb,Puttalam,42
2014,Mar,Puttalam,42
2014,Apr,Puttalam,27
2014,May,Puttalam,34
2014,Jun,Puttalam,83
2014,Jul,Puttalam,101
2014,Aug,Puttalam,65
2014,Sep,Puttalam,39
2014,Oct,Puttalam,84
2014,Nov,Puttalam,147
2014,Dec,Puttalam,159
2015,Jan,Puttalam,256
2015,Feb,Puttalam,85
2015,Mar,Puttalam,34
2015,Apr,Puttalam,20
2015,May,Puttalam,32
2015,Jun,Puttalam,42
2015,Jul,Puttalam,65
2015,Aug,Puttalam,14
2015,Sep,Puttalam,12
2015,Oct,Puttalam,23
2015,Nov,Puttalam,77
2015,Dec,Puttalam,79
2016,Jan,Puttalam,206
2016,Feb,Puttalam,160
2016,Mar,Puttalam,63
2016,Apr,Puttalam,74
2016,May,Puttalam,53
2016,Jun,Puttalam,87
2016,Jul,Puttalam,144
2016,Aug,Puttalam,89
2016,Sep,Puttalam,47
2016,Oct,Puttalam,17
2016,Nov,Puttalam,26
2016,Dec,Puttalam,80
2017,Jan,Puttalam,196
2017,Feb,Puttalam,132
2017,Mar,Puttalam,212
2017,Apr,Puttalam,318
2017,May,Puttalam,612
2017,Jun,Puttalam,783
2017,Jul,Puttalam,1304
2017,Aug,Puttalam,1192
2017,Sep,Puttalam,419
2017,Oct,Puttalam,501
2017,Nov,Puttalam,1037
2017,Dec,Puttalam,1135
