year,month,district,count
2010,Jan,Ratnapura,93
2010,Feb,Ratnapura,141
2010,Mar,Ratnapura,234
2010,Apr,Ratnapura,270
2010,May,Ratnapura,274
2010,Jun,Ratnapura,432
2010,Jul,Ratnapura,492
2010,Aug,Ratnapura,438
2010,Sep,Ratnapura,246
2010,Oct,Ratnapura,118
2010,Nov,Ratnapura,53
2010,Dec,Ratnapura,46
2011,Jan,Ratnapura,47
2011,Feb,Ratnapura,38
2011,Mar,Ratnapura,40
2011,Apr,Ratnapura,113
2011,May,Ratnapura,89
2011,Jun,Ratnapura,118
2011,Jul,Ratnapura,153
2011,Aug,Ratnapura,86
2011,Sep,Ratnapura,117
2011,Oct,Ratnapura,87
2011,Nov,Ratnapura,91
2011,Dec,Ratnapura,181
2012,Jan,Ratnapura,126
2012,Feb,Ratnapura,153
2012,Mar,Ratnapura,160
2012,Apr,Ratnapura,183
2012,May,Ratnapura,257
2012,Jun,Ratnapura,874
2012,Jul,Ratnapura,621
2012,Aug,Ratnapura,648
2012,Sep,Ratnapura,310
2012,Oct,Ratnapura,194
2012,Nov,Ratnapura,262
2012,Dec,Ratnapura,150
2013,Jan,Ratnapura,131
2013,Feb,Ratnapura,148
2013,Mar,Ratnapura,220
2013,Apr,Ratnapura,217
2013,May,Ratnapura,253
2013,Jun,Ratnapura,185
2013,Jul,Ratnapura,169
2013,Aug,Ratnapura,146
2013,Sep,Ratnapura,90
2013,Oct,Ratnapura,44
2013,Nov,Ratnapura,70
2013,Dec,Ratnapura,56
2014,Jan,Ratnapura,91
2014,Feb,Ratnapura,43
2014,Mar,Ratnapura,58
2014,Apr,Ratnapura,52
2014,May,Ratnapura,370
2014,Jun,Ratnapura,866
2014,Jul,Ratnapura,457
2014,Aug,Ratnapura,343
2014,Sep,Ratnapura,148
2014,Oct,Ratnapura,171
2014,Nov,Ratnapura,124
2014,Dec,Ratnapura,100
2015,Jan,Ratnapura,163
2015,Feb,Ratnapura,122
2015,Mar,Ratnapura,90
2015,Apr,Ratnapura,59
2015,May,Ratnapura,70
2015,Jun,Ratnapura,68
2015,Jul,Ratnapura,105
2015,Aug,Ratnapura,74
2015,Sep,Ratnapura,46
2015,Oct,Ratnapura,64
2015,Nov,Ratnapura,93
2015,Dec,Ratnapura,87
2016,Jan,Ratnapura,211
2016,Feb,Ratnapura,135
2016,Mar,Ratnapura,169
2016,Apr,Ratnapura,237
2016,May,Ratnapura,241
2016,Jun,Ratnapura,395
2016,Jul,Ratnapura,681
2016,Aug,Ratnapura,275
2016,Sep,Ratnapura,196
2016,Oct,Ratnapura,139
2016,Nov,Ratnapura,143
2016,Dec,Ratnapura,308
2017,Jan,Ratnapura,439
2017,Feb,Ratnapura,360
2017,Mar,Ratnapura,507
2017,Apr,Ratnapura,519
2017,May,Ratnapura,1161
2017,Jun,Ratnapura,1908
2017,Jul,Ratnapura,3175
2017,Aug,Ratnapura,1661
2017,Sep,Ratnapura,740
2017,Oct,Ratnapura,265
2017,Nov,Ratnapura,255
2017,Dec,Ratnapura,306
