year,month,district,count
2010,Jan,Vavuniya,336
2010,Feb,Vavuniya,91
2010,Mar,Vavuniya,40
2010,Apr,Vavuniya,14
2010,May,Vavuniya,6
2010,Jun,Vavuniya,21
2010,Jul,Vavuniya,27
2010,Aug,Vavuniya,22
2010,Sep,Vavuniya,12
2010,Oct,Vavuniya,3
2010,Nov,Vavuniya,3
2010,Dec,Vavuniya,4
2011,Jan,Vavuniya,13
2011,Feb,Vavuniya,3
2011,Mar,Vavuniya,15
2011,Apr,Vavuniya,5
2011,May,Vavuniya,7
2011,Jun,Vavuniya,11
2011,Jul,Vavuniya,8
2011,Aug,Vavuniya,2
2011,Sep,Vavuniya,3
2011,Oct,Vavuniya,3
2011,Nov,Vavuniya,4
2011,Dec,Vavuniya,7
2012,Jan,Vavuniya,13
2012,Feb,Vavuniya,5
2012,Mar,Vavuniya,5
2012,Apr,Vavuniya,2
2012,May,Vavuniya,5
2012,Jun,Vavuniya,2
2012,Jul,Vavuniya,3
2012,Aug,Vavuniya,16
2012,Sep,Vavuniya,20
2012,Oct,Vavuniya,13
2012,Nov,Vavuniya,9
2012,Dec,Vavuniya,11
2013,Jan,Vavuniya,11
2013,Feb,Vavuniya,8
2013,Mar,Vavuniya,12
2013,Apr,Vavuniya,3
2013,May,Vavuniya,8
2013,Jun,Vavuniya,6
2013,Jul,Vavuniya,7
2013,Aug,Vavuniya,4
2013,Sep,Vavuniya,4
2013,Oct,Vavuniya,5
2013,Nov,Vavuniya,10
2013,Dec,Vavuniya,15
2014,Jan,Vavuniya,6
2014,Feb,Vavuniya,12
2014,Mar,Vavuniya,14
2014,Apr,Vavuniya,9
2014,May,Vavuniya,6
2014,Jun,Vavuniya,33
2014,Jul,Vavuniya,16
2014,Aug,Vavuniya,5
2014,Sep,Vavuniya,4
2014,Oct,Vavuniya,7
2014,Nov,Vavuniya,14
2014,Dec,Vavuniya,16
2015,Jan,Vavuniya,32
2015,Feb,Vavuniya,15
2015,Mar,Vavuniya,8
2015,Apr,Vavuniya,4
2015,May,Vavuniya,15
2015,Jun,Vavuniya,9
2015,Jul,Vavuniya,5
2015,Aug,Vavuniya,4
2015,Sep,Vavuniya,11
2015,Oct,Vavuniya,19
2015,Nov,Vavuniya,16
2015,Dec,Vavuniya,59
2016,Jan,Vavuniya,69
2016,Feb,Vavuniya,22
2016,Mar,Vavuniya,19
2016,Apr,Vavuniya,26
2016,May,Vavuniya,13
2016,Jun,Vavuniya,7
2016,Jul,Vavuniya,30
2016,Aug,Vavuniya,12
2016,Sep,Vavuniya,20
2016,Oct,Vavuniya,12
2016,Nov,Vavuniya,5
2016,Dec,Vavuniya,33
2017,Jan,Vavuniya,58
2017,Feb,Vavuniya,76
2017,Mar,Vavuniya,143
2017,Apr,Vavuniya,83
2017,May,Vavuniya,65
2017,Jun,Vavuniya,81
2017,Jul,Vavuniya,137
2017,Aug,Vavuniya,92
2017,Sep,Vavuniya,52
2017,Oct,Vavuniya,48
2017,Nov,Vavuniya,97
2017,Dec,Vavuniya,143
