year,month,district,count
2010,Jan,Ampara,12
2010,Feb,Ampara,13
2010,Mar,Ampara,25
2010,Apr,Ampara,19
2010,May,Ampara,9
2010,Jun,Ampara,6
2010,Jul,Ampara,30
2010,Aug,Ampara,21
2010,Sep,Ampara,19
2010,Oct,Ampara,5
2010,Nov,Ampara,1
2010,Dec,Ampara,8
2011,Jan,Ampara,12
2011,Feb,Ampara,6
2011,Mar,Ampara,2
2011,Apr,Ampara,20
2011,May,Ampara,10
2011,Jun,Ampara,29
2011,Jul,Ampara,20
2011,Aug,Ampara,11
2011,Sep,Ampara,24
2011,Oct,Ampara,13
2011,Nov,Ampara,16
2011,Dec,Ampara,33
2012,Jan,Ampara,18
2012,Feb,Ampara,6
2012,Mar,Ampara,4
2012,Apr,Ampara,9
2012,May,Ampara,21
2012,Jun,Ampara,15
2012,Jul,Ampara,29
2012,Aug,Ampara,13
2012,Sep,Ampara,9
2012,Oct,Ampara,11
2012,Nov,Ampara,14
2012,Dec,Ampara,6
2013,Jan,Ampara,14
2013,Feb,Ampara,17
2013,Mar,Ampara,20
2013,Apr,Ampara,7
2013,May,Ampara,11
2013,Jun,Ampara,15
2013,Jul,Ampara,26
2013,Aug,Ampara,26
2013,Sep,Ampara,25
2013,Oct,Ampara,18
2013,Nov,Ampara,28
2013,Dec,Ampara,35
2014,Jan,Ampara,22
2014,Feb,Ampara,16
2014,Mar,Ampara,7
2014,Apr,Ampara,13
2014,May,Ampara,9
2014,Jun,Ampara,21
2014,Jul,Ampara,17
2014,Aug,Ampara,19
2014,Sep,Ampara,3
2014,Oct,Ampara,10
2014,Nov,Ampara,15
2014,Dec,Ampara,6
2015,Jan,Ampara,10
2015,Feb,Ampara,5
2015,Mar,Ampara,6
2015,Apr,Ampara,0
2015,May,Ampara,5
2015,Jun,Ampara,9
2015,Jul,Ampara,4
2015,Aug,Ampara,6
2015,Sep,Ampara,5
2015,Oct,Ampara,3
2015,Nov,Ampara,3
2015,Dec,Ampara,11
2016,Jan,Ampara,38
2016,Feb,Ampara,19
2016,Mar,Ampara,18
2016,Apr,Ampara,18
2016,May,Ampara,7
2016,Jun,Ampara,22
2016,Jul,Ampara,61
2016,Aug,Ampara,17
2016,Sep,Ampara,20
2016,Oct,Ampara,7
2016,Nov,Ampara,4
2016,Dec,Ampara,29
2017,Jan,Ampara,51
2017,Feb,Ampara,51
2017,Mar,Ampara,59
2017,Apr,Ampara,72
2017,May,Ampara,75
2017,Jun,Ampara,105
2017,Jul,Ampara,225
2017,Aug,Ampara,100
2017,Sep,Ampara,62
2017,Oct,Ampara,41
2017,Nov,Ampara,33
2017,Dec,Ampara,60
