year,month,district,count
2010,Jan,Batticaloa,305
2010,Feb,Batticaloa,314
2010,Mar,Batticaloa,202
2010,Apr,Batticaloa,184
2010,May,Batticaloa,48
2010,Jun,Batticaloa,59
2010,Jul,Batticaloa,59
2010,Aug,Batticaloa,25
2010,Sep,Batticaloa,4
2010,Oct,Batticaloa,8
2010,Nov,Batticaloa,13
2010,Dec,Batticaloa,29
2011,Jan,Batticaloa,31
2011,Feb,Batticaloa,41
2011,Mar,Batticaloa,104
2011,Apr,Batticaloa,185
2011,May,Batticaloa,141
2011,Jun,Batticaloa,112
2011,Jul,Batticaloa,53
2011,Aug,Batticaloa,21
2011,Sep,Batticaloa,35
2011,Oct,Batticaloa,123
2011,Nov,Batticaloa,289
2011,Dec,Batticaloa,558
2012,Jan,Batticaloa,263
2012,Feb,Batticaloa,116
2012,Mar,Batticaloa,91
2012,Apr,Batticaloa,32
2012,May,Batticaloa,35
2012,Jun,Batticaloa,32
2012,Jul,Batticaloa,11
2012,Aug,Batticaloa,21
2012,Sep,Batticaloa,7
2012,Oct,Batticaloa,26
2012,Nov,Batticaloa,36
2012,Dec,Batticaloa,47
2013,Jan,Batticaloa,52
2013,Feb,Batticaloa,74
2013,Mar,Batticaloa,93
2013,Apr,Batticaloa,67
2013,May,Batticaloa,79
2013,Jun,Batticaloa,48
2013,Jul,Batticaloa,32
2013,Aug,Batticaloa,26
2013,Sep,Batticaloa,19
2013,Oct,Batticaloa,22
2013,Nov,Batticaloa,14
2013,Dec,Batticaloa,30
2014,Jan,Batticaloa,43
2014,Feb,Batticaloa,66
2014,Mar,Batticaloa,147
2014,Apr,Batticaloa,92
2014,May,Batticaloa,117
2014,Jun,Batticaloa,97
2014,Jul,Batticaloa,60
2014,Aug,Batticaloa,22
2014,Sep,Batticaloa,15
2014,Oct,Batticaloa,40
2014,Nov,Batticaloa,95
2014,Dec,Batticaloa,176
2015,Jan,Batticaloa,335
2015,Feb,Batticaloa,347
2015,Mar,Batticaloa,210
2015,Apr,Batticaloa,124
2015,May,Batticaloa,139
2015,Jun,Batticaloa,82
2015,Jul,Batticaloa,65
2015,Aug,Batticaloa,18
2015,Sep,Batticaloa,8
2015,Oct,Batticaloa,31
2015,Nov,Batticaloa,40
2015,Dec,Batticaloa,75
2016,Jan,Batticaloa,124
2016,Feb,Batticaloa,65
2016,Mar,Batticaloa,34
2016,Apr,Batticaloa,31
2016,May,Batticaloa,20
2016,Jun,Batticaloa,43
2016,Jul,Batticaloa,69
2016,Aug,Batticaloa,38
2016,Sep,Batticaloa,31
2016,Oct,Batticaloa,13
2016,Nov,Batticaloa,18
2016,Dec,Batticaloa,126
2017,Jan,Batticaloa,217
2017,Feb,Batticaloa,465
2017,Mar,Batticaloa,828
2017,Apr,Batticaloa,1182
2017,May,Batticaloa,869
2017,Jun,Batticaloa,465
2017,Jul,Batticaloa,273
2017,Aug,Batticaloa,197
2017,Sep,Batticaloa,143
2017,Oct,Batticaloa,140
2017,Nov,Batticaloa,271
2017,Dec,Batticaloa,556
