year,month,district,count
2010,Jan,Kurunegala,197
2010,Feb,Kurunegala,142
2010,Mar,Kurunegala,99
2010,Apr,Kurunegala,54
2010,May,Kurunegala,100
2010,Jun,Kurunegala,151
2010,Jul,Kurunegala,300
2010,Aug,Kurunegala,214
2010,Sep,Kurunegala,78
2010,Oct,Kurunegala,47
2010,Nov,Kurunegala,21
2010,Dec,Kurunegala,26
2011,Jan,Kurunegala,31
2011,Feb,Kurunegala,49
2011,Mar,Kurunegala,60
2011,Apr,Kurunegala,59
2011,May,Kurunegala,91
2011,Jun,Kurunegala,116
2011,Jul,Kurunegala,178
2011,Aug,Kurunegala,84
2011,Sep,Kurunegala,84
2011,Oct,Kurunegala,71
2011,Nov,Kurunegala,82
2011,Dec,Kurunegala,135
2012,Jan,Kurunegala,159
2012,Feb,Kurunegala,148
2012,Mar,Kurunegala,114
2012,Apr,Kurunegala,100
2012,May,Kurunegala,140
2012,Jun,Kurunegala,342
2012,Jul,Kurunegala,406
2012,Aug,Kurunegala,401
2012,Sep,Kurunegala,320
2012,Oct,Kurunegala,311
2012,Nov,Kurunegala,497
2012,Dec,Kurunegala,599
2013,Jan,Kurunegala,720
2013,Feb,Kurunegala,485
2013,Mar,Kurunegala,303
2013,Apr,Kurunegala,134
2013,May,Kurunegala,194
2013,Jun,Kurunegala,195
2013,Jul,Kurunegala,154
2013,Aug,Kurunegala,163
2013,Sep,Kurunegala,105
2013,Oct,Kurunegala,104
2013,Nov,Kurunegala,98
2013,Dec,Kurunegala,117
2014,Jan,Kurunegala,163
2014,Feb,Kurunegala,106
2014,Mar,Kurunegala,94
2014,Apr,Kurunegala,61
2014,May,Kurunegala,61
2014,Jun,Kurunegala,303
2014,Jul,Kurunegala,318
2014,Aug,Kurunegala,296
2014,Sep,Kurunegala,195
2014,Oct,Kurunegala,287
2014,Nov,Kurunegala,316
2014,Dec,Kurunegala,264
2015,Jan,Kurunegala,329
2015,Feb,Kurunegala,178
2015,Mar,Kurunegala,108
2015,Apr,Kurunegala,73
2015,May,Kurunegala,62
2015,Jun,Kurunegala,61
2015,Jul,Kurunegala,82
2015,Aug,Kurunegala,70
2015,Sep,Kurunegala,27
2015,Oct,Kurunegala,56
2015,Nov,Kurunegala,107
2015,Dec,Kurunegala,100
2016,Jan,Kurunegala,241
2016,Feb,Kurunegala,170
2016,Mar,Kurunegala,105
2016,Apr,Kurunegala,98
2016,May,Kurunegala,194
2016,Jun,Kurunegala,361
2016,Jul,Kurunegala,598
2016,Aug,Kurunegala,227
2016,Sep,Kurunegala,125
2016,Oct,Kurunegala,67
2016,Nov,Kurunegala,110
2016,Dec,Kurunegala,260
2017,Jan,Kurunegala,403
2017,Feb,Kurunegala,381
2017,Mar,Kurunegala,505
2017,Apr,Kurunegala,629
2017,May,Kurunegala,1281
2017,Jun,Kurunegala,2030
2017,Jul,Kurunegala,2300
2017,Aug,Kurunegala,1487
2017,Sep,Kurunegala,576
2017,Oct,Kurunegala,368
2017,Nov,Kurunegala,747
2017,Dec,Kurunegala,562
