year,month,district,count
2010,Jan,Matara,36
2010,Feb,Matara,44
2010,Mar,Matara,41
2010,Apr,Matara,29
2010,May,Matara,28
2010,Jun,Matara,67
2010,Jul,Matara,148
2010,Aug,Matara,110
2010,Sep,Matara,62
2010,Oct,Matara,25
2010,Nov,Matara,15
2010,Dec,Matara,9
2011,Jan,Matara,14
2011,Feb,Matara,18
2011,Mar,Matara,35
2011,Apr,Matara,55
2011,May,Matara,57
2011,Jun,Matara,51
2011,Jul,Matara,83
2011,Aug,Matara,27
2011,Sep,Matara,63
2011,Oct,Matara,72
2011,Nov,Matara,141
2011,Dec,Matara,179
2012,Jan,Matara,186
2012,Feb,Matara,147
2012,Mar,Matara,155
2012,Apr,Matara,94
2012,May,Matara,84
2012,Jun,Matara,147
2012,Jul,Matara,186
2012,Aug,Matara,241
2012,Sep,Matara,141
2012,Oct,Matara,196
2012,Nov,Matara,158
2012,Dec,Matara,100
2013,Jan,Matara,48
2013,Feb,Matara,75
2013,Mar,Matara,65
2013,Apr,Matara,28
2013,May,Matara,36
2013,Jun,Matara,31
2013,Jul,Matara,54
2013,Aug,Matara,34
2013,Sep,Matara,27
2013,Oct,Matara,19
2013,Nov,Matara,32
2013,Dec,Matara,37
2014,Jan,Matara,50
2014,Feb,Matara,31
2014,Mar,Matara,11
2014,Apr,Matara,13
2014,May,Matara,22
2014,Jun,Matara,63
2014,Jul,Matara,112
2014,Aug,Matara,82
2014,Sep,Matara,93
2014,Oct,Matara,130
2014,Nov,Matara,71
2014,Dec,Matara,70
2015,Jan,Matara,81
2015,Feb,Matara,46
2015,Mar,Matara,41
2015,Apr,Matara,28
2015,May,Matara,25
2015,Jun,Matara,12
2015,Jul,Matara,21
2015,Aug,Matara,24
2015,Sep,Matara,24
2015,Oct,Matara,72
2015,Nov,Matara,43
2015,Dec,Matara,42
2016,Jan,Matara,139
2016,Feb,Matara,92
2016,Mar,Matara,43
2016,Apr,Matara,56
2016,May,Matara,35
2016,Jun,Matara,119
2016,Jul,Matara,282
2016,Aug,Matara,144
2016,Sep,Matara,115
2016,Oct,Matara,82
2016,Nov,Matara,86
2016,Dec,Matara,191
2017,Jan,Matara,431
2017,Feb,Matara,382
2017,Mar,Matara,337
2017,Apr,Matara,354
2017,May,Matara,488
2017,Jun,Matara,581
2017,Jul,Matara,1789
2017,Aug,Matara,1029
2017,Sep,Matara,403
2017,Oct,Matara,174
2017,Nov,Matara,181
2017,Dec,Matara,182
