year,month,district,count
2010,Jan,Moneragala,50
2010,Feb,Moneragala,39
2010,Mar,Moneragala,55
2010,Apr,Moneragala,67
2010,May,Moneragala,53
2010,Jun,Moneragala,93
2010,Jul,Moneragala,314
2010,Aug,Moneragala,219
2010,Sep,Moneragala,65
2010,Oct,Moneragala,50
2010,Nov,Moneragala,42
2010,Dec,Moneragala,24
2011,Jan,Moneragala,17
2011,Feb,Moneragala,24
2011,Mar,Moneragala,15
2011,Apr,Moneragala,33
2011,May,Moneragala,16
2011,Jun,Moneragala,18
2011,Jul,Moneragala,32
2011,Aug,Moneragala,17
2011,Sep,Moneragala,34
2011,Oct,Moneragala,30
2011,Nov,Moneragala,40
2011,Dec,Moneragala,36
2012,Jan,Moneragala,16
2012,Feb,Moneragala,23
2012,Mar,Moneragala,23
2012,Apr,Moneragala,15
2012,May,Moneragala,22
2012,Jun,Moneragala,38
2012,Jul,Moneragala,33
2012,Aug,Moneragala,36
2012,Sep,Moneragala,16
2012,Oct,Moneragala,17
2012,Nov,Moneragala,29
2012,Dec,Moneragala,19
2013,Jan,Moneragala,34
2013,Feb,Moneragala,19
2013,Mar,Moneragala,27
2013,Apr,Moneragala,23
2013,May,Moneragala,17
2013,Jun,Moneragala,18
2013,Jul,Moneragala,18
2013,Aug,Moneragala,26
2013,Sep,Moneragala,19
2013,Oct,Moneragala,24
2013,Nov,Moneragala,20
2013,Dec,Moneragala,16
2014,Jan,Moneragala,23
2014,Feb,Moneragala,24
2014,Mar,Moneragala,21
2014,Apr,Moneragala,9
2014,May,Moneragala,10
2014,Jun,Moneragala,34
2014,Jul,Moneragala,48
2014,Aug,Moneragala,32
2014,Sep,Moneragala,20
2014,Oct,Moneragala,27
2014,Nov,Moneragala,44
2014,Dec,Moneragala,21
2015,Jan,Moneragala,46
2015,Feb,Moneragala,29
2015,Mar,Moneragala,15
2015,Apr,Moneragala,7
2015,May,Moneragala,7
2015,Jun,Moneragala,18
2015,Jul,Moneragala,16
2015,Aug,Moneragala,14
2015,Sep,Moneragala,2
2015,Oct,Moneragala,16
2015,Nov,Moneragala,23
2015,Dec,Moneragala,30
2016,Jan,Moneragala,58
2016,Feb,Moneragala,32
2016,Mar,Moneragala,23
2016,Apr,Moneragala,31
2016,May,Moneragala,18
2016,Jun,Moneragala,24
2016,Jul,Moneragala,70
2016,Aug,Moneragala,59
2016,Sep,Moneragala,46
2016,Oct,Moneragala,18
2016,Nov,Moneragala,29
2016,Dec,Moneragala,67
2017,Jan,Moneragala,97
2017,Feb,Moneragala,97
2017,Mar,Moneragala,112
2017,Apr,Moneragala,126
2017,May,Moneragala,164
2017,Jun,Moneragala,449
2017,Jul,Moneragala,569
2017,Aug,Moneragala,348
2017,Sep,Moneragala,300
2017,Oct,Moneragala,357
2017,Nov,Moneragala,334
2017,Dec,Moneragala,291
