year,month,district,count
2010,Jan,Mulativu,0
2010,Feb,Mulativu,0
2010,Mar,Mulativu,0
2010,Apr,Mulativu,0
2010,May,Mulativu,1
2010,Jun,Mulativu,0
2010,Jul,Mulativu,2
2010,Aug,Mulativu,8
2010,Sep,Mulativu,7
2010,Oct,Mulativu,3
2010,Nov,Mulativu,1
2010,Dec,Mulativu,1
2011,Jan,Mulativu,2
2011,Feb,Mulativu,3
2011,Mar,Mulativu,0
2011,Apr,Mulativu,1
2011,May,Mulativu,1
2011,Jun,Mulativu,7
2011,Jul,Mulativu,1
2011,Aug,Mulativu,0
2011,Sep,Mulativu,0
2011,Oct,Mulativu,1
2011,Nov,Mulativu,2
2011,Dec,Mulativu,1
2012,Jan,Mulativu,2
2012,Feb,Mulativu,1
2012,Mar,Mulativu,1
2012,Apr,Mulativu,1
2012,May,Mulativu,3
2012,Jun,Mulativu,4
2012,Jul,Mulativu,5
2012,Aug,Mulativu,3
2012,Sep,Mulativu,2
2012,Oct,Mulativu,0
2012,Nov,Mulativu,6
2012,Dec,Mulativu,14
2013,Jan,Mulativu,12
2013,Feb,Mulativu,7
2013,Mar,Mulativu,17
2013,Apr,Mulativu,18
2013,May,Mulativu,20
2013,Jun,Mulativu,12
2013,Jul,Mulativu,6
2013,Aug,Mulativu,8
2013,Sep,Mulativu,9
2013,Oct,Mulativu,6
2013,Nov,Mulativu,10
2013,Dec,Mulativu,2
2014,Jan,Mulativu,23
2014,Feb,Mulativu,9
2014,Mar,Mulativu,17
2014,Apr,Mulativu,4
2014,May,Mulativu,6
2014,Jun,Mulativu,10
2014,Jul,Mulativu,6
2014,Aug,Mulativu,6
2014,Sep,Mulativu,5
2014,Oct,Mulativu,5
2014,Nov,Mulativu,17
2014,Dec,Mulativu,26
2015,Jan,Mulativu,36
2015,Feb,Mulativu,17
2015,Mar,Mulativu,8
2015,Apr,Mulativu,10
2015,May,Mulativu,12
2015,Jun,Mulativu,14
2015,Jul,Mulativu,13
2015,Aug,Mulativu,7
2015,Sep,Mulativu,2
2015,Oct,Mulativu,2
2015,Nov,Mulativu,6
2015,Dec,Mulativu,15
2016,Jan,Mulativu,29
2016,Feb,Mulativu,18
2016,Mar,Mulativu,19
2016,Apr,Mulativu,22
2016,May,Mulativu,9
2016,Jun,Mulativu,18
2016,Jul,Mulativu,22
2016,Aug,Mulativu,12
2016,Sep,Mulativu,7
2016,Oct,Mulativu,7
2016,Nov,Mulativu,7
2016,Dec,Mulativu,12
2017,Jan,Mulativu,37
2017,Feb,Mulativu,32
2017,Mar,Mulativu,21
2017,Apr,Mulativu,16
2017,May,Mulativu,27
2017,Jun,Mulativu,37
2017,Jul,Mulativu,71
2017,Aug,Mulativu,50
2017,Sep,Mulativu,23
2017,Oct,Mulativu,16
2017,Nov,Mulativu,24
2017,Dec,Mulativu,40
