year,month,district,count
2010,Jan,Gampaha,28
2010,Feb,Gampaha,11
2010,Mar,Gampaha,15
2010,Apr,Gampaha,6
2010,May,Gampaha,14
2010,Jun,Gampaha,13
2010,Jul,Gampaha,45
2010,Aug,Gampaha,44
2010,Sep,Gampaha,21
2010,Oct,Gampaha,21
2010,Nov,Gampaha,6
2010,Dec,Gampaha,3
2011,Jan,Gampaha,3
2011,Feb,Gampaha,8
2011,Mar,Gampaha,9
2011,Apr,Gampaha,19
2011,May,Gampaha,17
2011,Jun,Gampaha,20
2011,Jul,Gampaha,50
2011,Aug,Gampaha,10
2011,Sep,Gampaha,31
2011,Oct,Gampaha,43
2011,Nov,Gampaha,17
2011,Dec,Gampaha,25
2012,Jan,Gampaha,24
2012,Feb,Gampaha,35
2012,Mar,Gampaha,41
2012,Apr,Gampaha,25
2012,May,Gampaha,18
2012,Jun,Gampaha,58
2012,Jul,Gampaha,30
2012,Aug,Gampaha,30
2012,Sep,Gampaha,21
2012,Oct,Gampaha,17
2012,Nov,Gampaha,30
2012,Dec,Gampaha,13
2013,Jan,Gampaha,17
2013,Feb,Gampaha,32
2013,Mar,Gampaha,30
2013,Apr,Gampaha,15
2013,May,Gampaha,16
2013,Jun,Gampaha,21
2013,Jul,Gampaha,27
2013,Aug,Gampaha,40
2013,Sep,Gampaha,13
2013,Oct,Gampaha,16
2013,Nov,Gampaha,18
2013,Dec,Gampaha,27
2014,Jan,Gampaha,27
2014,Feb,Gampaha,14
2014,Mar,Gampaha,6
2014,Apr,Gampaha,11
2014,May,Gampaha,25
2014,Jun,Gampaha,60
2014,Jul,Gampaha,39
2014,Aug,Gampaha,34
2014,Sep,Gampaha,18
2014,Oct,Gampaha,29
2014,Nov,Gampaha,16
2014,Dec,Gampaha,35
2015,Jan,Gampaha,38
2015,Feb,Gampaha,26
2015,Mar,Gampaha,13
2015,Apr,Gampaha,5
2015,May,Gampaha,8
2015,Jun,Gampaha,8
2015,Jul,Gampaha,15
2015,Aug,Gampaha,5
2015,Sep,Gampaha,6
2015,Oct,Gampaha,15
2015,Nov,Gampaha,14
2015,Dec,Gampaha,27
2016,Jan,Gampaha,44
2016,Feb,Gampaha,22
2016,Mar,Gampaha,20
2016,Apr,Gampaha,31
2016,May,Gampaha,18
2016,Jun,Gampaha,38
2016,Jul,Gampaha,111
2016,Aug,Gampaha,51
2016,Sep,Gampaha,25
2016,Oct,Gampaha,18
2016,Nov,Gampaha,12
2016,Dec,Gampaha,31
2017,Jan,Gampaha,50
2017,Feb,Gampaha,32
2017,Mar,Gampaha,42
2017,Apr,Gampaha,37
2017,May,Gampaha,57
2017,Jun,Gampaha,94
2017,Jul,Gampaha,294
2017,Aug,Gampaha,159
2017,Sep,Gampaha,39
2017,Oct,Gampaha,27
2017,Nov,Gampaha,22
2017,Dec,Gampaha,39
