year,month,district,count
2010,Jan,Polonnaruwa,33
2010,Feb,Polonnaruwa,42
2010,Mar,Polonnaruwa,34
2010,Apr,Polonnaruwa,50
2010,May,Polonnaruwa,60
2010,Jun,Polonnaruwa,61
2010,Jul,Polonnaruwa,51
2010,Aug,Polonnaruwa,30
2010,Sep,Polonnaruwa,21
2010,Oct,Polonnaruwa,8
2010,Nov,Polonnaruwa,5
2010,Dec,Polonnaruwa,7
2011,Jan,Polonnaruwa,5
2011,Feb,Polonnaruwa,38
2011,Mar,Polonnaruwa,20
2011,Apr,Polonnaruwa,28
2011,May,Polonnaruwa,38
2011,Jun,Polonnaruwa,44
2011,Jul,Polonnaruwa,36
2011,Aug,Polonnaruwa,23
2011,Sep,Polonnaruwa,18
2011,Oct,Polonnaruwa,16
2011,Nov,Polonnaruwa,6
2011,Dec,Polonnaruwa,32
2012,Jan,Polonnaruwa,25
2012,Feb,Polonnaruwa,27
2012,Mar,Polonnaruwa,21
2012,Apr,Polonnaruwa,11
2012,May,Polonnaruwa,17
2012,Jun,Polonnaruwa,37
2012,Jul,Polonnaruwa,22
2012,Aug,Polonnaruwa,38
2012,Sep,Polonnaruwa,12
2012,Oct,Polonnaruwa,21
2012,Nov,Polonnaruwa,15
2012,Dec,Polonnaruwa,43
2013,Jan,Polonnaruwa,34
2013,Feb,Polonnaruwa,40
2013,Mar,Polonnaruwa,47
2013,Apr,Polonnaruwa,41
2013,May,Polonnaruwa,28
2013,Jun,Polonnaruwa,19
2013,Jul,Polonnaruwa,43
2013,Aug,Polonnaruwa,76
2013,Sep,Polonnaruwa,47
2013,Oct,Polonnaruwa,41
2013,Nov,Polonnaruwa,45
2013,Dec,Polonnaruwa,46
2014,Jan,Polonnaruwa,75
2014,Feb,Polonnaruwa,45
2014,Mar,Polonnaruwa,38
2014,Apr,Polonnaruwa,33
2014,May,Polonnaruwa,24
2014,Jun,Polonnaruwa,62
2014,Jul,Polonnaruwa,79
2014,Aug,Polonnaruwa,33
2014,Sep,Polonnaruwa,27
2014,Oct,Polonnaruwa,42
2014,Nov,Polonnaruwa,53
2014,Dec,Polonnaruwa,47
2015,Jan,Polonnaruwa,47
2015,Feb,Polonnaruwa,48
2015,Mar,Polonnaruwa,13
2015,Apr,Polonnaruwa,9
2015,May,Polonnaruwa,12
2015,Jun,Polonnaruwa,9
2015,Jul,Polonnaruwa,18
2015,Aug,Polonnaruwa,12
2015,Sep,Polonnaruwa,8
2015,Oct,Polonnaruwa,21
2015,Nov,Polonnaruwa,25
2015,Dec,Polonnaruwa,28
2016,Jan,Polonnaruwa,60
2016,Feb,Polonnaruwa,48
2016,Mar,Polonnaruwa,24
2016,Apr,Polonnaruwa,33
2016,May,Polonnaruwa,20
2016,Jun,Polonnaruwa,31
2016,Jul,Polonnaruwa,110
2016,Aug,Polonnaruwa,38
2016,Sep,Polonnaruwa,27
2016,Oct,Polonnaruwa,22
2016,Nov,Polonnaruwa,23
2016,Dec,Polonnaruwa,43
2017,Jan,Polonnaruwa,54
2017,Feb,Polonnaruwa,64
2017,Mar,Polonnaruwa,98
2017,Apr,Polonnaruwa,172
2017,May,Polonnaruwa,160
2017,Jun,Polonnaruwa,190
2017,Jul,Polonnaruwa,320
2017,Aug,Polonnaruwa,104
2017,Sep,Polonnaruwa,54
2017,Oct,Polonnaruwa,56
2017,Nov,Polonnaruwa,65
2017,Dec,Polonnaruwa,73
