year,month,district,count
2010,Jan,Trincomalee,233
2010,Feb,Trincomalee,283
2010,Mar,Trincomalee,145
2010,Apr,Trincomalee,60
2010,May,Trincomalee,22
2010,Jun,Trincomalee,38
2010,Jul,Trincomalee,89
2010,Aug,Trincomalee,46
2010,Sep,Trincomalee,21
2010,Oct,Trincomalee,17
2010,Nov,Trincomalee,11
2010,Dec,Trincomalee,22
2011,Jan,Trincomalee,7
2011,Feb,Trincomalee,17
2011,Mar,Trincomalee,25
2011,Apr,Trincomalee,25
2011,May,Trincomalee,12
2011,Jun,Trincomalee,19
2011,Jul,Trincomalee,21
2011,Aug,Trincomalee,6
2011,Sep,Trincomalee,10
2011,Oct,Trincomalee,3
2011,Nov,Trincomalee,8
2011,Dec,Trincomalee,24
2012,Jan,Trincomalee,23
2012,Feb,Trincomalee,23
2012,Mar,Trincomalee,26
2012,Apr,Trincomalee,6
2012,May,Trincomalee,8
2012,Jun,Trincomalee,16
2012,Jul,Trincomalee,8
2012,Aug,Trincomalee,13
2012,Sep,Trincomalee,7
2012,Oct,Trincomalee,5
2012,Nov,Trincomalee,15
2012,Dec,Trincomalee,18
2013,Jan,Trincomalee,25
2013,Feb,Trincomalee,45
2013,Mar,Trincomalee,31
2013,Apr,Trincomalee,23
2013,May,Trincomalee,20
2013,Jun,Trincomalee,5
2013,Jul,Trincomalee,15
2013,Aug,Trincomalee,13
2013,Sep,Trincomalee,5
2013,Oct,Trincomalee,4
2013,Nov,Trincomalee,7
2013,Dec,Trincomalee,14
2014,Jan,Trincomalee,52
2014,Feb,Trincomalee,38
2014,Mar,Trincomalee,77
2014,Apr,Trincomalee,115
2014,May,Trincomalee,100
2014,Jun,Trincomalee,55
2014,Jul,Trincomalee,34
2014,Aug,Trincomalee,18
2014,Sep,Trincomalee,16
2014,Oct,Trincomalee,22
2014,Nov,Trincomalee,55
2014,Dec,Trincomalee,79
2015,Jan,Trincomalee,131
2015,Feb,Trincomalee,96
2015,Mar,Trincomalee,59
2015,Apr,Trincomalee,81
2015,May,Trincomalee,65
2015,Jun,Trincomalee,39
2015,Jul,Trincomalee,30
2015,Aug,Trincomalee,9
2015,Sep,Trincomalee,8
2015,Oct,Trincomalee,6
2015,Nov,Trincomalee,15
2015,Dec,Trincomalee,48
2016,Jan,Trincomalee,102
2016,Feb,Trincomalee,59
2016,Mar,Trincomalee,42
2016,Apr,Trincomalee,32
2016,May,Trincomalee,28
2016,Jun,Trincomalee,25
2016,Jul,Trincomalee,35
2016,Aug,Trincomalee,17
2016,Sep,Trincomalee,14
2016,Oct,Trincomalee,9
2016,Nov,Trincomalee,8
2016,Dec,Trincomalee,132
2017,Jan,Trincomalee,387
2017,Feb,Trincomalee,661
2017,Mar,Trincomalee,2114
2017,Apr,Trincomalee,936
2017,May,Trincomalee,158
2017,Jun,Trincomalee,136
2017,Jul,Trincomalee,154
2017,Aug,Trincomalee,99
2017,Sep,Trincomalee,68
2017,Oct,Trincomalee,70
2017,Nov,Trincomalee,105
2017,Dec,Trincomalee,120
